,title,artist,release,metascore,userscore
9624,The Blueprint,by Jay-Z,"September 11, 2001",88,8.7
9625,1991 [EP],by Azealia Banks,"June 12, 2012",84,8.7
9626,The Search,by NF,"July 26, 2019",58,8.7
9627,The Black Album,by Jay-Z,"November 14, 2003",84,8.7
9628,"Nostalgia, Ultra.",by Frank Ocean,"February 18, 2011",83,8.7
9629,All My Heroes Are Cornballs,by JPEGMAFIA,"September 13, 2019",85,8.7
9630,Nellyville,by Nelly,"June 25, 2002",70,8.7
9631,Original Pirate Material,by The Streets,"October 22, 2002",90,8.7
9632,Undun,by The Roots,"December 6, 2011",88,8.7
9633,Exmilitary,by Death Grips,"April 27, 2011",82,8.7
9634,Stillmatic,by Nas,"December 18, 2001",69,8.7
9635,Hip Hop Is Dead,by Nas,"December 19, 2006",79,8.7
9636,Be,by Common,"May 24, 2005",83,8.7
9637,Cocoa Sugar,by Young Fathers,"March 9, 2018",87,8.7
9638,How I Got Over,by The Roots,"June 22, 2010",86,8.7
9639,God's Son,by Nas,"December 17, 2002",81,8.7
9640,Only Built 4 Cuban Linx... Pt. II,by Raekwon,"September 8, 2009",88,8.7
9641,God Loves Ugly,by Atmosphere,"June 11, 2002",76,8.7
9642,XXX,by Danny Brown,"August 15, 2011",83,8.7
9643,Fishscale,by Ghostface Killah,"March 28, 2006",88,8.7
9644,Ephorize,by CupcakKe,"January 5, 2018",84,8.7
9645,Control System,by Ab-Soul,"May 11, 2012",83,8.7
9646,Distant Relatives,by Nas And Damian Marley,"May 18, 2010",73,8.7
9647,Game Theory,by The Roots,"August 29, 2006",83,8.7
9648,Paper Trail,by T.I.,"September 30, 2008",74,8.7
9649,The Ecstatic,by Mos Def,"June 9, 2009",81,8.7
9650,The Renaissance,by Q-Tip,"November 4, 2008",82,8.7
9651,I'll Sleep When You're Dead,by El-P,"March 20, 2007",80,8.7
9652,"When Life Gives You Lemons, You Paint That Shit Gold",by Atmosphere,"April 22, 2008",68,8.7
9653,Chicken & Beer,by Ludacris,"October 7, 2003",75,8.7
9654,In Search Of... [First Version],by N.E.R.D,"August 6, 2001",92,8.7
9655,Labor Days,by Aesop Rock,"September 18, 2001",92,8.7
9656,Ultimate Victory,by Chamillionaire,"September 18, 2007",71,8.7
9657,Beauty And The Beat,by Edan,"March 29, 2005",85,8.7
9658,Rising Down,by The Roots,"April 29, 2008",80,8.7
9659,The Recession,by Young Jeezy,"September 2, 2008",72,8.7
9660,Elephant Eyelash,by Why?,"October 4, 2005",76,8.7
9661,Power In Numbers,by Jurassic 5,"October 8, 2002",76,8.7
9662,Legends Never Die,by R.A. the Rugged Man,"April 30, 2013",84,8.7
9663,Born Like This,by DOOM,"March 24, 2009",77,8.7
9664,Murs 3:16 The 9th Edition,by Murs,"March 23, 2004",85,8.7
9665,You Can't Imagine How Much Fun We're Having,by Atmosphere,"October 4, 2005",77,8.7
9666,Birth Of A Prince,by The RZA,"October 7, 2003",62,8.7
9667,More Fish,by Ghostface Killah,"December 12, 2006",77,8.7
9668,"Fast Cars, Danger, Fire And Knives [EP]",by Aesop Rock,"February 22, 2005",69,8.7
9669,Desire,by Pharoahe Monch,"June 26, 2007",79,8.7
9670,Raw Footage,by Ice Cube,"August 19, 2008",67,8.7
9671,Panic Prevention,by Jamie T,"August 28, 2007",71,8.7
9672,The Bake Sale [EP],by The Cool Kids,"June 3, 2008",78,8.7
9673,UGK 4 Life,by UGK,"March 31, 2009",84,8.7
9674,Blakroc,by Blakroc,"November 27, 2009",72,8.7
9675,Brooklynati,by Tanya Morgan,"May 19, 2009",79,8.7
9676,Jay Stay Paid,by J Dilla aka Jay Dee,"June 2, 2009",81,8.7
9677,The Infamous Mobb Deep,by Mobb Deep,"April 1, 2014",70,8.7
9678,1977,by Terius Nash,"August 31, 2011",66,8.7
9679,Afterparty Babies,by Cadence Weapon,"March 4, 2008",73,8.7
9680,Good to Be Home,by Blu,"May 19, 2014",73,8.7
9681,85 to Africa,by Jidenna,"August 23, 2019",70,8.7
9682,Kids See Ghosts,by Kids See Ghosts,"June 8, 2018",84,8.6
9683,Rodeo,by Travis Scott,"September 4, 2015",64,8.6
9684,Trench,by Twenty One Pilots,"October 5, 2018",81,8.6
9685,Malibu,by Anderson .Paak,"January 15, 2016",85,8.6
9686,Kala,by M.I.A.,"August 21, 2007",87,8.6
9687,Summertime '06,by Vince Staples,"June 30, 2015",87,8.6
9688,Saturation III,by BROCKHAMPTON,"December 15, 2017",82,8.6
9689,Run the Jewels,by El-P,"June 26, 2013",86,8.6
9690,Piñata,by Madlib,"March 18, 2014",82,8.6
9691,Bottomless Pit,by Death Grips,"May 6, 2016",80,8.6
9692,Bandana,by Freddie Gibbs,"June 28, 2019",88,8.6
9693,Life is Good,by Nas,"July 17, 2012",81,8.6
9694,No Love Deep Web,by Death Grips,"November 19, 2013",76,8.6
9695,The Powers That B,by Death Grips,"March 31, 2015",73,8.6
9696,The Documentary,by The Game,"January 18, 2005",72,8.6
9697,Donuts,by J Dilla aka Jay Dee,"February 7, 2006",84,8.6
9698,The Lost Tapes,by Nas,"September 24, 2002",81,8.6
9699,Doctor's Advocate,by The Game,"November 14, 2006",73,8.6
9700,Alfredo,by Freddie Gibbs,"May 29, 2020",88,8.6
9701,Miss E... So Addictive,by Missy Elliott,"May 15, 2001",89,8.6
9702,Until The End Of Time,by 2Pac,"March 27, 2001",51,8.6
9703,DiCaprio 2,by J.I.D,"November 26, 2018",80,8.6
9704,The Impossible Kid,by Aesop Rock,"April 29, 2016",85,8.6
9705,The Mouse And The Mask,by DangerDoom,"October 11, 2005",81,8.6
9706,Phrenology,by The Roots,"November 26, 2002",87,8.6
9707,None Shall Pass,by Aesop Rock,"August 28, 2007",74,8.6
9708,4eva N A Day,by Big K.R.I.T.,"March 5, 2012",78,8.6
9709,The Singles Collection 2001-2011,by Gorillaz,"November 29, 2011",76,8.6
9710,Alopecia,by Why?,"March 11, 2008",76,8.6
9711,Cee-Lo Green Is The Soul Machine,by Cee Lo Green,"March 2, 2004",86,8.6
9712,For Hero: For Fool,by Subtle,"October 3, 2006",85,8.6
9713,Ear Drum,by Talib Kweli,"August 21, 2007",73,8.6
9714,A Healthy Distrust,by Sage Francis,"February 8, 2005",78,8.6
9715,The Further Adventures Of Lord Quas,by Quasimoto,"May 3, 2005",79,8.6
9716,Eden,by CupcakKe,"November 9, 2018",77,8.6
9717,Dark Comedy,by Open Mike Eagle,"June 10, 2014",73,8.6
9718,Big GRRRL Small World,by Lizzo,"December 11, 2015",79,8.6
9719,This Is My Demo,by Sway,"February 6, 2006",81,8.6
9720,Atlantis: Hymns For Disco,by k-os,"February 20, 2007",70,8.6
9721,Digi Snacks,by The RZA,"June 24, 2008",65,8.6
9722,I'm New Here,by Gil Scott-Heron,"February 9, 2010",78,8.6
9723,Covert Coup,by Curren$y,"April 20, 2011",80,8.6
9724,Yessir Whatever,by Quasimoto,"June 18, 2013",69,8.6
9725,Tronic,by Black Milk,"October 28, 2008",84,8.6
9726,Never Better,by P.O.S.,"February 3, 2009",75,8.6
9727,Imperius Rex,by Sean Price,"August 25, 2017",87,8.6
9728,Pro Tools,by GZA,"August 19, 2008",76,8.6
9729,Kamaal The Abstract,by Q-Tip,"September 15, 2009",78,8.6
9730,Tape One [EP],by Young Fathers,"January 22, 2013",82,8.6
9731,A Curious Tale of Trials & Persons,by Little Simz,"September 18, 2015",80,8.6
9732,Murray's Revenge,by Murs,"March 21, 2006",79,8.6
9733,Ten,by cLOUDDEAD,"March 16, 2004",74,8.6
9734,TSOL,by Shad,"October 5, 2010",81,8.6
9735,Li(f)e,by Sage Francis,"May 11, 2010",68,8.6
9736,Art Official Intelligence (Mosaic Thump),by De La Soul,"August 8, 2000",75,8.6
9737,Distortion,by REV RUN,"October 18, 2005",61,8.6
9738,Two Fingers,by Two Fingers,"April 14, 2009",69,8.6
9739,Marci Beaucoup,by Roc Marciano,"December 10, 2013",77,8.6
9740,Radio Silence,by Talib Kweli,"November 17, 2017",78,8.6
9741,Music To Be Murdered By,by Eminem,"January 17, 2020",64,8.5
9742,The Marshall Mathers LP 2,by Eminem,"November 5, 2013",72,8.5
9743,In My Defense,by Iggy Azalea,"August 2, 2019",39,8.5
9744,Broke With Expensive Taste,by Azealia Banks,"November 6, 2014",77,8.5
9745,DAYTONA,by Pusha T,"May 25, 2018",86,8.5
9746,"""Awaken, My Love!""",by Childish Gambino,"December 2, 2016",77,8.5
9747,Because the Internet,by Childish Gambino,"December 10, 2013",64,8.5
9748,Under Pressure,by Logic,"October 21, 2014",72,8.5
9749,Get Rich Or Die Tryin',by 50 Cent,"February 6, 2003",73,8.5
9750,Tetsuo & Youth,by Lupe Fiasco,"January 20, 2015",80,8.5
9751,"Man on the Moon, Vol. 3: The Chosen",by Kid Cudi,"December 11, 2020",71,8.5
9752,Untitled,by Nas,"July 15, 2008",71,8.5
9753,Still Brazy,by YG,"June 17, 2016",83,8.5
9754,Cilvia: Demo [EP],by Isaiah Rashad,"January 28, 2014",82,8.5
9755,R.A.P. Music,by Killer Mike,"May 15, 2012",85,8.5
9756,niggas on the moon,by Death Grips,"June 8, 2014",70,8.5
9757,Cancer4Cure,by El-P,"May 22, 2012",84,8.5
9758,The Lost Tapes II,by Nas,"July 19, 2019",58,8.5
9759,Everything's Fine,by Jean Grae,"April 27, 2018",84,8.5
9760,King's Disease,by Nas,"August 21, 2020",72,8.5
9761,In Search Of... [Second Version],by N.E.R.D,"March 12, 2002",83,8.5
9762,Twelve Reasons to Die,by Ghostface Killah,"April 16, 2013",78,8.5
9763,The Cookbook,by Missy Elliott,"July 5, 2005",74,8.5
9764,Word Of Mouf,by Ludacris,"November 27, 2001",67,8.5
9765,Cheers,by Obie Trice,"September 23, 2003",73,8.5
9766,So It Goes,by Ratking,"April 8, 2014",78,8.5
9767,Electric Circus,by Common,"December 10, 2002",80,8.5
9768,Iron Flag,by Wu-Tang Clan,"December 18, 2001",69,8.5
9769,Back To The Woods,by Angel Haze,"September 14, 2015",82,8.5
9770,This Right Here Is Buck 65,by Buck 65,"January 25, 2005",85,8.5
9771,Tape Two,by Young Fathers,"June 11, 2013",84,8.5
9772,I Am the West,by Ice Cube,"September 28, 2010",62,8.5
9773,Awfully Deep,by Roots Manuva,"April 19, 2005",80,8.5
9774,Hokey Fright,by The Uncluded,"May 7, 2013",79,8.5
9775,P.T.S.D.: Post Traumatic Stress Disorder,by Pharoahe Monch,"April 15, 2014",78,8.5
9776,Eve-Olution,by Eve,"August 27, 2002",68,8.5
9777,A Long Hot Summer,by Masta Ace,"August 3, 2004",78,8.5
9778,Philadelphia Freeway,by Freeway,"February 25, 2003",74,8.5
9779,Godfather Buried Alive,by Shyne,"August 10, 2004",54,8.5
9780,JP3,by JunglePussy,"May 11, 2018",83,8.5
9781,Deliverance,by Bubba Sparxxx,"September 16, 2003",82,8.5
9782,Home Sweet Home,by Kano,"June 27, 2005",82,8.5
9783,Emeritus,by Scarface,"December 2, 2008",85,8.5
9784,Pilot Talk II,by Curren$y,"November 22, 2010",79,8.5
9785,Stereo Typical,by Rizzle Kicks,"November 1, 2011",70,8.5
9786,Rosebudd's Revenge,by Roc Marciano,"February 21, 2017",83,8.5
9787,Weareallgoingtoburninhellmegamixxx3,by El-P,"August 3, 2010",75,8.5
9788,Diaspora,by GoldLink,"June 12, 2019",82,8.5
9789,Ghetto Postage,by Master P,"November 28, 2000",57,8.5
9790,AOI: Bionix,by De La Soul,"December 4, 2001",77,8.5
9791,Venomous Villain [VV:2],by Viktor Vaughn,"August 3, 2004",71,8.5
9792,Pick A Bigger Weapon,by The Coup,"April 25, 2006",78,8.5
9793,The Stimulus Package,by Freeway & Jake One,"February 16, 2010",78,8.5
9794,Made in the Manor,by Kano,"March 4, 2016",67,8.5
9795,Guns,by Quelle Chris,"March 29, 2019",81,8.5
9796,Ruff Draft [Reissue],by J Dilla aka Jay Dee,"March 20, 2007",81,8.5
9797,Everybody Down,by Kate Tempest,"May 20, 2014",77,8.5
9798,The Book of David,by DJ Quik,"April 19, 2011",79,8.5
9799,Revolverlution,by Public Enemy,"July 23, 2002",65,8.5
9800,And I Love H.E.R.: Original Motion Picture Soundtrack,by Danny,"June 24, 2008",81,8.5
9801,Are You Gonna Eat That?,by Hail Mary Mallon,"June 7, 2011",76,8.5
9802,4everevolution,by Roots Manuva,"October 25, 2011",75,8.5
9803,DAMN.,by Kendrick Lamar,"April 14, 2017",95,8.4
9804,Late Registration,by Kanye West,"August 30, 2005",85,8.4
9805,Section.80,by Kendrick Lamar,"July 2, 2011",80,8.4
9806,Hell: The Sequel EP,by Bad Meets Evil,"June 14, 2011",72,8.4
9807,Some Rap Songs,by Earl Sweatshirt,"November 30, 2018",86,8.4
9808,Arular,by M.I.A.,"March 22, 2005",88,8.4
9809,Blank Face LP,by ScHoolboy Q,"July 8, 2016",81,8.4
9810,Room 25,by Noname,"September 14, 2018",93,8.4
9811,Doris,by Earl Sweatshirt,"August 20, 2013",82,8.4
9812,American Gangster,by Jay-Z,"November 6, 2007",83,8.4
9813,Swimming,by Mac Miller,"August 3, 2018",78,8.4
9814,Old,by Danny Brown,"October 8, 2013",83,8.4
9815,"Passion, Pain & Demon Slayin'",by Kid Cudi,"December 28, 2016",70,8.4
9816,Live Love A$AP,by A$AP Rocky,"October 31, 2011",83,8.4
9817,Street's Disciple,by Nas,"November 30, 2004",80,8.4
9818,St. Elsewhere,by Gnarls Barkley,"May 9, 2006",81,8.4
9819,Painted Ruins,by Grizzly Bear,"August 18, 2017",82,8.4
9820,Finding Forever,by Common,"July 31, 2007",73,8.4
9821,CLPPNG,by clipping.,"June 10, 2014",73,8.4
9822,King,by T.I.,"March 28, 2006",77,8.4
9823,La Bella Mafia,by Lil' Kim,"March 4, 2003",65,8.4
9824,The Allegory,"by Royce da 5'9""","February 21, 2020",79,8.4
9825,Everything's For Sale,by Boogie,"January 25, 2019",82,8.4
9826,Fever,by Megan Thee Stallion,"May 17, 2019",81,8.4
9827,8 Diagrams,by Wu-Tang Clan,"December 11, 2007",73,8.4
9828,Book of Ryan,"by Royce da 5'9""","May 4, 2018",84,8.4
9829,Eat at Whitey's ,by Everlast,"October 17, 2000",67,8.4
9830,Ill Manors,by Plan B,"August 21, 2012",83,8.4
9831,Seeing Sounds,by N.E.R.D,"June 10, 2008",64,8.4
9832,Street Dreams,by Fabolous,"March 4, 2003",51,8.4
9833,Yesterday's Gone,by Loyle Carner,"January 20, 2017",84,8.4
9834,Scorpion,by Eve,"March 6, 2001",70,8.4
9835,Buck The World,by Young Buck,"March 27, 2007",70,8.4
9836,The Big Doe Rehab,by Ghostface Killah,"December 4, 2007",77,8.4
9837,"Not Waving, But Drowning",by Loyle Carner,"April 19, 2019",70,8.4
9838,Purple Haze,by Cam'ron,"December 7, 2004",72,8.4
9839,Fetti [EP],by Curren$y,"October 31, 2018",86,8.4
9840,The Last Kiss,by Jadakiss,"April 7, 2009",61,8.4
9841,Red Gone Wild: Thee Album,by Redman,"March 27, 2007",79,8.4
9842,Bad Neighbor,by MED,"October 30, 2015",81,8.4
9843,Stillness In Wonderland,by Little Simz,"December 16, 2016",84,8.4
9844,Bleeds,by Roots Manuva,"October 30, 2015",80,8.4
9845,M.A.D.E.,by Scarface,"December 4, 2007",80,8.4
9846,African Giant,by Burna Boy,"July 26, 2019",80,8.4
9847,The Ownerz,by Gang Starr,"June 24, 2003",70,8.4
9848,The Goat,by Polo G,"May 15, 2020",83,8.4
9849,Grime MC,by JME,"December 27, 2019",84,8.4
9850,This Week,by Jean Grae,"September 21, 2004",79,8.4
9851,Album of the Year,by Black Milk,"September 14, 2010",79,8.4
9852,Timez Are Weird These Days,by Theophilus London,"July 19, 2011",61,8.4
9853,No Kings,by Doomtree,"November 22, 2011",80,8.4
9854,Exiting Arm,by Subtle,"June 3, 2008",75,8.4
9855,Sorry To Bother You,by The Coup,"October 30, 2012",80,8.4
9856,My Beautiful Dark Twisted Fantasy,by Kanye West,"November 22, 2010",94,8.3
9857,Recovery,by Eminem,"June 22, 2010",63,8.3
9858,College Dropout,by Kanye West,"February 10, 2004",87,8.3
9859,untitled unmastered.,by Kendrick Lamar,"March 4, 2016",86,8.3
9860,Coloring Book [Mixtape],by Chance the Rapper,"May 13, 2016",89,8.3
9861,2014 Forest Hills Drive,by J. Cole,"December 9, 2014",67,8.3
9862,Blurryface,by Twenty One Pilots,"May 19, 2015",80,8.3
9863,Big Fish Theory,by Vince Staples,"June 23, 2017",89,8.3
9864,Wolf,"by Tyler, The Creator","April 2, 2013",70,8.3
9865,Compton,by Dr. Dre,"August 7, 2015",82,8.3
9866,"Man on the Moon, Vol. 2: The Legend of Mr. Rager",by Kid Cudi,"November 9, 2010",69,8.3
9867,I Don't Like Shit: I Don't Go Outside,by Earl Sweatshirt,"March 23, 2015",81,8.3
9868,Hell Hath No Fury,by Clipse,"November 28, 2006",89,8.3
9869,Grey Area,by Little Simz,"March 1, 2019",91,8.3
9870,King Push - Darkest Before Dawn: The Prelude,by Pusha T,"December 18, 2015",85,8.3
9871,Wildflower,by The Avalanches,"July 8, 2016",83,8.3
9872,GO:OD AM,by Mac Miller,"September 18, 2015",71,8.3
9873,The Sun's Tirade,by Isaiah Rashad,"September 2, 2016",80,8.3
9874,Elephunk,by The Black Eyed Peas,"June 24, 2003",66,8.3
9875,Prima Donna [EP],by Vince Staples,"August 26, 2016",83,8.3
9876,Drogas Wave,by Lupe Fiasco,"September 21, 2018",73,8.3
9877,uknowhatimsayin¿,by Danny Brown,"October 4, 2019",83,8.3
9878,Hell Can Wait [EP],by Vince Staples,"November 10, 2014",80,8.3
9879,Black Up,by Shabazz Palaces,"June 28, 2011",83,8.3
9880,Skelethon,by Aesop Rock,"July 10, 2012",79,8.3
9881,All 6's and 7's,by Tech N9ne,"June 7, 2011",81,8.3
9882,The Lost Boy,by YBN Cordae,"July 26, 2019",81,8.3
9883,This Is Not A Test!,by Missy Elliott,"November 25, 2003",79,8.3
9884,Lese Majesty,by Shabazz Palaces,"July 29, 2014",81,8.3
9885,The Greatest Story Never Told,by Saigon,"February 15, 2011",89,8.3
9886,Attention Deficit,by Wale,"November 10, 2009",77,8.3
9887,Second Round's On Me,by Obie Trice,"August 15, 2006",48,8.3
9888,Detroit 2,by Big Sean,"September 4, 2020",71,8.3
9889,The Undisputed Truth,by Brother Ali,"April 10, 2007",74,8.3
9890,Theater Of The Mind,by Ludacris,"November 25, 2008",68,8.3
9891,Pilot Talk,by Curren$y,"July 13, 2010",77,8.3
9892,Visions of Bodies Being Burned,by clipping.,"October 23, 2020",79,8.3
9893,The Pretty Toney Album,by Ghostface Killah,"April 20, 2004",84,8.3
9894,All Day,by Girl Talk,"November 15, 2010",79,8.3
9895,BlackenedWhite,by MellowHype,"July 12, 2011",72,8.3
9896,Back to Love,by Anthony Hamilton,"December 13, 2011",82,8.3
9897,Stay Human,by Michael Franti & Spearhead,"May 15, 2001",73,8.3
9898,Depart From Me,by Cage,"July 7, 2009",69,8.3
9899,Eskimo Snow,by Why?,"September 22, 2009",76,8.3
9900,Go! Pop! Bang!,by Rye Rye,"May 15, 2012",70,8.3
9901,Brandon Banks,by Maxo Kream,"July 18, 2019",84,8.3
9902,Music By Cavelight,by Blockhead,"March 23, 2004",72,8.3
9903,Padded Room,by Joe Budden,"February 24, 2009",70,8.3
9904,Black and Brown!,by Danny Brown,"November 7, 2011",71,8.3
9905,Mic Tyson,by Sean Price,"October 30, 2012",80,8.3
9906,Evermore: The Art of Duality,by The Underachievers,"September 25, 2015",73,8.3
9907,Featuring Ty Dolla $ign,by Ty Dolla $ign,"October 23, 2020",79,8.3
9908,The B.Coming,by Beanie Sigel,"March 29, 2005",73,8.3
9909,Ghostdini: Wizard Of Poetry,by Ghostface Killah,"September 29, 2009",68,8.3
9910,Our Pathetic Age,by DJ Shadow,"November 15, 2019",69,8.3
9911,Digital Bullet,by The RZA,"August 28, 2001",67,8.3
9912,Carnival II: Memoirs Of An Immigrant,by Wyclef Jean,"December 4, 2007",72,8.3
9913,By The Throat,by Eyedea & Abilities,"July 21, 2009",76,8.3
9914,H.F.M. 2 (The Hunger for More 2),by Lloyd Banks,"November 22, 2010",64,8.3
9915,Random Axe,by Random Axe,"June 14, 2011",80,8.3
9916,I Phantom,by Mr. Lif,"September 17, 2002",81,8.3
9917,No Said Date,by Masta Killa,"June 1, 2004",86,8.3
9918,Trill O.G.,by Bun B,"August 3, 2010",57,8.3
9919,Edna,by Headie One,"October 9, 2020",87,8.3
9920,"The Darkside, Vol. 1",by Fat Joe,"July 27, 2010",70,8.3
9921,Dust,by Muggs,"March 11, 2003",67,8.3
9922,Taste The Secret,by Ugly Duckling,"June 17, 2003",72,8.3
9923,Beat Konducta Vol. 1-2: Movie Scenes,by Madlib,"March 21, 2006",75,8.3
9924,Rainforest,by Clams Casino,"July 5, 2011",75,8.3
9925,Str8 Killa [EP],by Freddie Gibbs,"August 3, 2010",76,8.3
9926,Reconstructed: The Best of DJ Shadow,by DJ Shadow,"September 25, 2012",79,8.3
9927,Anicca,by Teebs,"October 25, 2019",84,8.3
9928,Kamikaze,by Eminem,"August 31, 2018",62,8.2
9929,Relapse,by Eminem,"May 19, 2009",59,8.2
9930,At.Long.Last.A$AP,by A$AP Rocky,"May 26, 2015",76,8.2
9931,Oxymoron,by ScHoolboy Q,"February 25, 2014",78,8.2
9932,My Name Is My Name,by Pusha T,"October 7, 2013",81,8.2
9933,Die Lit,by Playboi Carti,"May 11, 2018",71,8.2
9934,Surf,by Donnie Trumpet & The Social Experiment,"May 29, 2015",86,8.2
9935,The  Divine Feminine,by Mac Miller,"September 16, 2016",70,8.2
9936,My Krazy Life,by YG,"March 18, 2014",80,8.2
9937,4eva Is a Mighty Long Time,by Big K.R.I.T.,"October 27, 2017",80,8.2
9938,Habits & Contradictions,by ScHoolboy Q,"January 14, 2012",78,8.2
9939,"Hot Sauce Committee, Pt. 2",by Beastie Boys,"May 3, 2011",83,8.2
9940,Tickets to My Downfall,by Machine Gun Kelly,"September 25, 2020",72,8.2
9941,Shadow of a Doubt,by Freddie Gibbs,"November 20, 2015",78,8.2
9942,Islah,by Kevin Gates,"January 29, 2016",81,8.2
9943,Laila’s Wisdom,by Rapsody,"September 22, 2017",87,8.2
9944,The Grey Album,by Danger Mouse,"February 3, 2004",79,8.2
9945,Something Else,by Tech N9ne,"July 30, 2013",85,8.2
9946,Under Construction,by Missy Elliott,"November 12, 2002",81,8.2
9947,"The ""W""",by Wu-Tang Clan,"November 21, 2000",80,8.2
9948,The Odd Couple,by Gnarls Barkley,"March 18, 2008",76,8.2
9949,We're New Here,by Gil Scott-Heron,"February 22, 2011",83,8.2
9950,Slime Season [Mixtape],by Young Thug,"September 16, 2015",80,8.2
9951,Seven's Travels,by Atmosphere,"September 23, 2003",72,8.2
9952,Showtime,by Dizzee Rascal,"September 14, 2004",87,8.2
9953,Brick Body Kids Still Daydream,by Open Mike Eagle,"September 15, 2017",82,8.2
9954,II Trill,by Bun B,"May 20, 2008",82,8.2
9955,1992 Deluxe,by Princess Nokia,"September 8, 2017",77,8.2
9956,Ignorance Is Bliss,by Skepta,"May 31, 2019",79,8.2
9957,Testimony,by August Alsina,"April 15, 2014",79,8.2
9958,Cashmere,by Swet Shop Boys,"October 14, 2016",80,8.2
9959,The Saga Continues,by Wu-Tang,"October 13, 2017",64,8.2
9960,Maths + English,by Dizzee Rascal,"June 5, 2007",78,8.2
9961,Loso's Way,by Fabolous,"July 28, 2009",66,8.2
9962,Stone Rollin',by Raphael Saadiq,"May 10, 2011",86,8.2
9963,Reservation [Mixtape],by Angel Haze,"July 17, 2012",88,8.2
9964,The Hunger Games: Songs from District 12 and Beyond,by Original Soundtrack,"March 20, 2012",72,8.2
9965,Return Of Dragon,by Sisqó,"June 19, 2001",61,8.2
9966,Supreme Blientele,by Westside Gunn,"June 22, 2018",69,8.2
9967,Crime Pays,by Cam'ron,"May 12, 2009",68,8.2
9968,Czarface,by Inspectah Deck,"February 19, 2013",77,8.2
9969,"Imani, Vol. 1",by Blackalicious,"September 18, 2015",76,8.2
9970,Black Radio,by Robert Glasper,"February 28, 2012",74,8.2
9971,Right About Now,by Talib Kweli,"November 22, 2005",68,8.2
9972,The Ecology,by Fashawn,"February 24, 2015",84,8.2
9973,Party Music,by The Coup,"November 6, 2001",85,8.2
9974,Everyone Deserves Music,by Michael Franti & Spearhead,"August 19, 2003",71,8.2
9975,Peanut Butter Blues and Melancholy Jam,by Ghostpoet,"February 7, 2011",78,8.2
9976,Quality Control,by Jurassic 5,"June 6, 2000",77,8.2
9977,White People,by Handsome Boy Modeling School,"November 9, 2004",66,8.2
9978,Copper Gone,by Sage Francis,"June 3, 2014",64,8.2
9979,Fever,by Black Milk,"February 23, 2018",80,8.2
9980,Masquerade,by Wyclef Jean,"June 18, 2002",60,8.2
9981,The Preacher's Son,by Wyclef Jean,"November 4, 2003",61,8.2
9982,Honkey Kong,by Apathy,"August 23, 2011",82,8.2
9983,Ohio,by Stalley,"October 28, 2014",79,8.2
9984,The Show,by eMC,"March 25, 2008",77,8.2
9985,WLIB AM: King Of The Wigflip,by Madlib,"September 30, 2008",72,8.2
9986,Quakers,by Quakers,"March 26, 2012",80,8.2
9987,Russian Roulette,by The Alchemist,"July 17, 2012",76,8.2
9988,Music for My Friends,by Skyzoo,"June 23, 2015",81,8.2
9989,August Greene,by August Greene,"March 9, 2018",72,8.2
9990,Czarface Meets Ghostface,by Czarface,"February 15, 2019",72,8.2
9991,Graduation,by Kanye West,"September 11, 2007",79,8.1
9992,The Pinkprint,by Nicki Minaj,"December 15, 2014",70,8.1
9993,All-Amerikkkan Bada$$,by Joey Bada$$,"April 7, 2017",75,8.1
9994,Tha Carter V,by Lil Wayne,"September 28, 2018",72,8.1
9995,B4.DA.$$,by Joey Bada$$,"January 20, 2015",75,8.1
9996,The Incredible True Story,by Logic,"November 13, 2015",75,8.1
9997,Year Of The Snitch,by Death Grips,"June 22, 2018",69,8.1
9998,JEFFERY [Mixtape],by Young Thug,"August 26, 2016",82,8.1
9999,Post Traumatic,by Mike Shinoda,"June 15, 2018",73,8.1
10000,Xen,by Arca,"November 4, 2014",79,8.1
10001,Live from the Underground,by Big K.R.I.T.,"June 5, 2012",78,8.1
10002,Godfather,by Wiley,"January 13, 2017",84,8.1
10003,Redemption,by Jay Rock,"June 15, 2018",81,8.1
10004,White Men Are Black Men Too,by Young Fathers,"April 7, 2015",83,8.1
10005,Devil's Night,by D12,"June 19, 2001",58,8.1
10006,Eve,by Rapsody,"August 23, 2019",90,8.1
10007,Nothing Great About Britain,by slowthai,"May 17, 2019",82,8.1
10008,Slime Season 3 [Mixtape],by Young Thug,"March 25, 2016",76,8.1
10009,Splendor & Misery,by clipping.,"September 9, 2016",76,8.1
10010,Follow Me Home,by Jay Rock,"July 26, 2011",73,8.1
10011,Not All Heroes Wear Capes,by Metro Boomin,"December 7, 2018",78,8.1
10012,Apollo Kids,by Ghostface Killah,"December 21, 2010",84,8.1
10013,36 Seasons,by Ghostface Killah,"December 9, 2014",72,8.1
10014,Quality,by Talib Kweli,"November 19, 2002",79,8.1
10015,Vacation in Hell,by Flatbush Zombies,"April 6, 2018",79,8.1
10016,Malibu Ken,by Malibu Ken,"January 18, 2019",76,8.1
10017,Blackout! 2,by Method Man & Redman,"May 19, 2009",79,8.1
10018,Victory Lap,by Nipsey Hussle,"February 16, 2018",80,8.1
10019,Til The Casket Drops,by Clipse,"December 8, 2009",64,8.1
10020,Paid Tha Cost To Be Da Boss,by Snoop Dogg,"November 26, 2002",76,8.1
10021,Slaughterhouse,by Slaughterhouse,"August 11, 2009",69,8.1
10022,Pattern + Grid World,by Flying Lotus,"September 21, 2010",82,8.1
